Source File;Source Line;CPU Time;CPU Time:Effective Time;CPU Time:Spin Time;CPU Time:Overhead Time
ut0lst.h;347;0.110000;0.110000;0.0;0.0
btr0sea.cc;1698;0.110000;0.110000;0.0;0.0
handler.h;4967;0.109999;0.109999;0.0;0.0
sql_profile.h;322;0.109999;0.109999;0.0;0.0
srw_lock.h;362;0.109998;0.109998;0.0;0.0
page0cur.cc;604;0.109998;0.109998;0.0;0.0
page0page.h;622;0.109997;0.109997;0.0;0.0
item.h;3864;0.109996;0.109996;0.0;0.0
my_thr_init.c;371;0.109002;0.109002;0.0;0.0
memset-vec-unaligned-erms.S;350;0.108998;0.108998;0.0;0.0
sql_base.cc;1357;0.107000;0.107000;0.0;0.0
my_alloc.c;490;0.101000;0.101000;0.0;0.0
sql_select.cc;5190;0.101000;0.101000;0.0;0.0
send.c;32;0.100997;0.100997;0.0;0.0
sql_class.h;5295;0.100996;0.100996;0.0;0.0
sql_explain.cc;3037;0.100003;0.100003;0.0;0.0
buf0types.h;132;0.100003;0.100003;0.0;0.0
lock0lock.cc;230;0.100001;0.100001;0.0;0.0
mtr0mtr.cc;1731;0.100001;0.100001;0.0;0.0
sql_list.h;423;0.100001;0.100001;0.0;0.0
page0cur.cc;456;0.100001;0.100001;0.0;0.0
lf_hash.cc;108;0.100000;0.100000;0.0;0.0
page0cur.cc;217;0.100000;0.100000;0.0;0.0
ha_innodb.cc;16414;0.100000;0.100000;0.0;0.0
srw_lock.h;162;0.100000;0.100000;0.0;0.0
sql_lex.h;3898;0.100000;0.100000;0.0;0.0
item.cc;3769;0.099999;0.099999;0.0;0.0
sql_select.cc;29940;0.099999;0.099999;0.0;0.0
rem0cmp.cc;403;0.099999;0.099999;0.0;0.0
item.cc;7497;0.099998;0.099998;0.0;0.0
item.h;3927;0.099998;0.099998;0.0;0.0
item_func.cc;143;0.099998;0.099998;0.0;0.0
net_serv.cc;898;0.099997;0.099997;0.0;0.0
buf0buf.h;1465;0.099996;0.099996;0.0;0.0
field.h;4189;0.099996;0.099996;0.0;0.0
rem0rec.h;131;0.099995;0.099995;0.0;0.0
sql_select.cc;29078;0.099994;0.099994;0.0;0.0
dict0dict.inl;170;0.099000;0.099000;0.0;0.0
handler.cc;3844;0.098999;0.098999;0.0;0.0
page0cur.cc;226;0.098999;0.098999;0.0;0.0
sql_class.cc;4926;0.098998;0.098998;0.0;0.0
sql_type.cc;1918;0.098997;0.098997;0.0;0.0
sql_base.cc;5278;0.098994;0.098994;0.0;0.0
buf0buf.cc;2790;0.092002;0.092002;0.0;0.0
opt_subselect.cc;6707;0.091005;0.091005;0.0;0.0
dict0dict.inl;170;0.091003;0.091003;0.0;0.0
ha_innodb.cc;2112;0.091003;0.091003;0.0;0.0
item.cc;3380;0.091000;0.091000;0.0;0.0
lock0lock.cc;464;0.091000;0.091000;0.0;0.0
opt_trace.cc;54;0.091000;0.091000;0.0;0.0
item.h;4546;0.091000;0.091000;0.0;0.0
malloc.c;3293;0.091000;0.091000;0.0;0.0
buf0buf.inl;40;0.090999;0.090999;0.0;0.0
m_ctype.h;1154;0.090998;0.090998;0.0;0.0
